Year,Broad_Sector,CO2_Emissions_Tonnes,CO2_Mt
2019,Energy Production,112337816.0,112.337816
2019,Manufacturing,64998179.0,64.998179
2019,Services & Other,53040146.0,53.040146
2019,Households,45365436.0,45.365436
2019,Mining,24682551.0,24.682551
2019,Transportation,12857820.0,12.85782
2019,Agriculture,6503396.0,6.503396
2019,Construction,4100674.0,4.100674
