Sector,Year,CO2_Emissions_Tonnes
"Professional, scientific and technical activities",2012,2197936.0
"Professional, scientific and technical activities",2013,2360506.0
"Professional, scientific and technical activities",2014,2327306.0
"Professional, scientific and technical activities",2015,2803475.0
"Professional, scientific and technical activities",2016,4127241.0
"Professional, scientific and technical activities",2017,3535325.0
"Professional, scientific and technical activities",2018,3840294.0
"Professional, scientific and technical activities",2019,2559883.0
Administrative and support service activities,2010,1683780.0
Administrative and support service activities,2011,1250711.0
Administrative and support service activities,2012,1300591.0
Administrative and support service activities,2013,1470180.0
Administrative and support service activities,2014,1537025.0
Administrative and support service activities,2015,1722730.0
Administrative and support service activities,2016,1980491.0
Administrative and support service activities,2017,2175306.0
Administrative and support service activities,2018,2278779.0
Administrative and support service activities,2019,1578623.0
Public administration and defence; compulsory social security,2010,2131054.0
Public administration and defence; compulsory social security,2011,1591338.0
Public administration and defence; compulsory social security,2012,1781136.0
Public administration and defence; compulsory social security,2013,1789827.0
Public administration and defence; compulsory social security,2014,1843737.0
Public administration and defence; compulsory social security,2015,2255020.0
Public administration and defence; compulsory social security,2016,2139725.0
Public administration and defence; compulsory social security,2017,1752227.0
Public administration and defence; compulsory social security,2018,1770004.0
Public administration and defence; compulsory social security,2019,1424231.0
Education,2010,2253158.0
Education,2011,1702009.0
Education,2012,1742231.0
Education,2013,1912332.0
Education,2014,2003434.0
Education,2015,2187495.0
Education,2016,2098463.0
Education,2017,2118156.0
Education,2018,2244000.0
Education,2019,1513666.0
Human health and social work activities,2010,2144670.0
Human health and social work activities,2011,1504700.0
Human health and social work activities,2012,1968149.0
Human health and social work activities,2013,2005549.0
Human health and social work activities,2014,2034850.0
Human health and social work activities,2015,2230596.0
Human health and social work activities,2016,2134079.0
Human health and social work activities,2017,2063695.0
Human health and social work activities,2018,1532650.0
Human health and social work activities,2019,1274746.0
"Arts, entertainment and recreation",2010,345790.0
"Arts, entertainment and recreation",2011,315724.0
"Arts, entertainment and recreation",2012,341292.0
"Arts, entertainment and recreation",2013,377600.0
"Arts, entertainment and recreation",2014,417618.0
"Arts, entertainment and recreation",2015,523234.0
"Arts, entertainment and recreation",2016,476726.0
"Arts, entertainment and recreation",2017,593438.0
"Arts, entertainment and recreation",2018,751134.0
"Arts, entertainment and recreation",2019,432181.0
Other service activities,2010,650339.0
Other service activities,2011,533509.0
Other service activities,2012,752471.0
Other service activities,2013,1741101.0
Other service activities,2014,1820237.0
Other service activities,2015,2232426.0
Other service activities,2016,2170830.0
Other service activities,2017,2103287.0
Other service activities,2018,2350510.0
Other service activities,2019,1536794.0
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2010,3.0
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2011,3.0
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2012,3.0
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2013,3.0
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2014,3.0
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2015,3.0
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2016,3.0
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2017,4.0
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2018,4.0
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2019,4.0
Activities of extraterritorial organizations and bodies,2010,6.0
Activities of extraterritorial organizations and bodies,2011,6.0
Activities of extraterritorial organizations and bodies,2012,7.0
Activities of extraterritorial organizations and bodies,2013,7.0
Activities of extraterritorial organizations and bodies,2014,7.0
Activities of extraterritorial organizations and bodies,2015,7.0
Activities of extraterritorial organizations and bodies,2016,7.0
Activities of extraterritorial organizations and bodies,2017,9.0
Activities of extraterritorial organizations and bodies,2018,9.0
Activities of extraterritorial organizations and bodies,2019,9.0
Activities by households,2010,16113418.0
Activities by households,2011,19044917.0
Activities by households,2012,17702786.0
Activities by households,2013,15844871.0
Activities by households,2014,26588700.0
Activities by households,2015,28481577.0
Activities by households,2016,29712499.0
Activities by households,2017,34809236.0
Activities by households,2018,36826604.0
Activities by households,2019,45365436.0
