Section,Measure,Unit,Year,Value
Frequency of observation: Annual,Renewable energy supply,"Tonnes of oil equivalent, Thousands",2022,1198209.0
Frequency of observation: Annual,Renewable energy supply,"Tonnes of oil equivalent, Thousands",2023,1288738.0
Frequency of observation: Annual,Renewable energy supply,"Tonnes of oil equivalent, Thousands",2024,1578591.0
Frequency of observation: Annual,Renewable energy supply,Percentage of energy supply,2009,1.04
Frequency of observation: Annual,Renewable energy supply,Percentage of energy supply,2010,1.07
Frequency of observation: Annual,Renewable energy supply,Percentage of energy supply,2011,0.98
Frequency of observation: Annual,Renewable energy supply,Percentage of energy supply,2012,0.97
Frequency of observation: Annual,Renewable energy supply,Percentage of energy supply,2013,0.9
Frequency of observation: Annual,Renewable energy supply,Percentage of energy supply,2014,1.14
Frequency of observation: Annual,Renewable energy supply,Percentage of energy supply,2015,1.55
Frequency of observation: Annual,Renewable energy supply,Percentage of energy supply,2016,1.73
Frequency of observation: Annual,Renewable energy supply,Percentage of energy supply,2017,1.67
Frequency of observation: Annual,Renewable energy supply,Percentage of energy supply,2018,1.42
Frequency of observation: Annual,Renewable energy supply,Percentage of energy supply,2019,1.47
Frequency of observation: Annual,Renewable energy supply,Percentage of energy supply,2020,1.67
Frequency of observation: Annual,Renewable energy supply,Percentage of energy supply,2021,1.6
Frequency of observation: Annual,Renewable energy supply,Percentage of energy supply,2022,1.71
Frequency of observation: Annual,Renewable energy supply,Percentage of energy supply,2023,1.74
Frequency of observation: Annual,Renewable energy supply,Percentage of energy supply,2024,2.12
Frequency of observation: Annual,Renewable electricity generation 2,Percentage of electricity generation,2009,8.74
Frequency of observation: Annual,Renewable electricity generation 2,Percentage of electricity generation,2010,9.71
Frequency of observation: Annual,Renewable electricity generation 2,Percentage of electricity generation,2011,9.1
Frequency of observation: Annual,Renewable electricity generation 2,Percentage of electricity generation,2012,8.23
Frequency of observation: Annual,Renewable electricity generation 2,Percentage of electricity generation,2013,7.5
Frequency of observation: Annual,Renewable electricity generation 2,Percentage of electricity generation,2014,8.79
Frequency of observation: Annual,Renewable electricity generation 2,Percentage of electricity generation,2015,10.36
Frequency of observation: Annual,Renewable electricity generation 2,Percentage of electricity generation,2016,12.71
Frequency of observation: Annual,Renewable electricity generation 2,Percentage of electricity generation,2017,11.35
Frequency of observation: Annual,Renewable electricity generation 2,Percentage of electricity generation,2018,10.45
Frequency of observation: Annual,Renewable electricity generation 2,Percentage of electricity generation,2019,10.79
Frequency of observation: Annual,Renewable electricity generation 2,Percentage of electricity generation,2020,10.99
Frequency of observation: Annual,Renewable electricity generation 2,Percentage of electricity generation,2021,10.94
Frequency of observation: Annual,Renewable electricity generation 2,Percentage of electricity generation,2022,11.82
Frequency of observation: Annual,Renewable electricity generation 2,Percentage of electricity generation,2023,12.74
Frequency of observation: Annual,Renewable electricity generation 2,Percentage of electricity generation,2024,14.22
Frequency of observation: Annual,Renewable energy supply (excluding solid biofuels) 2,Percentage of energy supply,2009,0.93
Frequency of observation: Annual,Renewable energy supply (excluding solid biofuels) 2,Percentage of energy supply,2010,1.0
Frequency of observation: Annual,Renewable energy supply (excluding solid biofuels) 2,Percentage of energy supply,2011,0.88
Frequency of observation: Annual,Renewable energy supply (excluding solid biofuels) 2,Percentage of energy supply,2012,0.89
Frequency of observation: Annual,Renewable energy supply (excluding solid biofuels) 2,Percentage of energy supply,2013,0.82
Frequency of observation: Annual,Renewable energy supply (excluding solid biofuels) 2,Percentage of energy supply,2014,1.1
Frequency of observation: Annual,Renewable energy supply (excluding solid biofuels) 2,Percentage of energy supply,2015,1.48
Frequency of observation: Annual,Renewable energy supply (excluding solid biofuels) 2,Percentage of energy supply,2016,1.66
Frequency of observation: Annual,Renewable energy supply (excluding solid biofuels) 2,Percentage of energy supply,2017,1.59
Frequency of observation: Annual,Renewable energy supply (excluding solid biofuels) 2,Percentage of energy supply,2018,1.34
Frequency of observation: Annual,Renewable energy supply (excluding solid biofuels) 2,Percentage of energy supply,2019,1.38
Frequency of observation: Annual,Renewable energy supply (excluding solid biofuels) 2,Percentage of energy supply,2020,1.59
Frequency of observation: Annual,Renewable energy supply (excluding solid biofuels) 2,Percentage of energy supply,2021,1.55
Frequency of observation: Annual,Renewable energy supply (excluding solid biofuels) 2,Percentage of energy supply,2022,1.62
Frequency of observation: Annual,Renewable energy supply (excluding solid biofuels) 2,Percentage of energy supply,2023,1.69
Frequency of observation: Annual,"Non-energy material productivity, GDP per unit of DMC 1","US dollars per kilogramme, 2020",2009,1.23
Frequency of observation: Annual,"Non-energy material productivity, GDP per unit of DMC 1","US dollars per kilogramme, 2020",2010,1.31
Frequency of observation: Annual,"Non-energy material productivity, GDP per unit of DMC 1","US dollars per kilogramme, 2020",2011,1.22
Frequency of observation: Annual,"Non-energy material productivity, GDP per unit of DMC 1","US dollars per kilogramme, 2020",2012,1.35
Frequency of observation: Annual,"Non-energy material productivity, GDP per unit of DMC 1","US dollars per kilogramme, 2020",2013,1.27
Frequency of observation: Annual,"Non-energy material productivity, GDP per unit of DMC 1","US dollars per kilogramme, 2020",2014,1.31
Frequency of observation: Annual,"Non-energy material productivity, GDP per unit of DMC 1","US dollars per kilogramme, 2020",2015,1.28
Frequency of observation: Annual,"Non-energy material productivity, GDP per unit of DMC 1","US dollars per kilogramme, 2020",2016,1.27
Frequency of observation: Annual,"Non-energy material productivity, GDP per unit of DMC 1","US dollars per kilogramme, 2020",2017,1.26
Frequency of observation: Annual,"Non-energy material productivity, GDP per unit of DMC 1","US dollars per kilogramme, 2020",2018,1.26
Frequency of observation: Annual,"Non-energy material productivity, GDP per unit of DMC 1","US dollars per kilogramme, 2020",2019,1.31
Frequency of observation: Annual,"Non-energy material productivity, GDP per unit of DMC 1","US dollars per kilogramme, 2020",2020,1.24
Frequency of observation: Annual,"Non-energy material productivity, GDP per unit of DMC 1","US dollars per kilogramme, 2020",2021,1.26
Frequency of observation: Annual,"Non-energy material productivity, GDP per unit of DMC 1","US dollars per kilogramme, 2020",2022,1.35
Frequency of observation: Annual,"Non-energy material productivity, GDP per unit of DMC 1","US dollars per kilogramme, 2020",2023,1.5
Frequency of observation: Annual,"Non-energy material productivity, GDP per unit of DMC 1","US dollars per kilogramme, 2020",2024,1.36
Frequency of observation: Annual,Consumption of biomass 1,Percentage of domestic material consumption,2009,25.08
Frequency of observation: Annual,Consumption of biomass 1,Percentage of domestic material consumption,2010,18.2
Frequency of observation: Annual,Consumption of biomass 1,Percentage of domestic material consumption,2011,27.41
Frequency of observation: Annual,Consumption of biomass 1,Percentage of domestic material consumption,2012,16.84
Frequency of observation: Annual,Consumption of biomass 1,Percentage of domestic material consumption,2013,20.02
Frequency of observation: Annual,Consumption of biomass 1,Percentage of domestic material consumption,2014,19.41
Frequency of observation: Annual,Consumption of biomass 1,Percentage of domestic material consumption,2015,20.27
Frequency of observation: Annual,Consumption of biomass 1,Percentage of domestic material consumption,2016,21.22
Frequency of observation: Annual,Consumption of biomass 1,Percentage of domestic material consumption,2017,20.67
Frequency of observation: Annual,Consumption of biomass 1,Percentage of domestic material consumption,2018,19.72
Frequency of observation: Annual,Consumption of biomass 1,Percentage of domestic material consumption,2019,18.81
Frequency of observation: Annual,Consumption of biomass 1,Percentage of domestic material consumption,2020,20.66
Frequency of observation: Annual,Consumption of biomass 1,Percentage of domestic material consumption,2021,18.98
Frequency of observation: Annual,Consumption of biomass 1,Percentage of domestic material consumption,2022,18.69
Frequency of observation: Annual,Consumption of biomass 1,Percentage of domestic material consumption,2023,18.35
Frequency of observation: Annual,Consumption of biomass 1,Percentage of domestic material consumption,2024,18.01
Frequency of observation: Annual,Consumption of non-metallic minerals 1,Percentage of domestic material consumption,2009,20.79
Frequency of observation: Annual,Consumption of non-metallic minerals 1,Percentage of domestic material consumption,2010,22.51
Frequency of observation: Annual,Consumption of non-metallic minerals 1,Percentage of domestic material consumption,2011,20.59
Frequency of observation: Annual,Consumption of non-metallic minerals 1,Percentage of domestic material consumption,2012,25.72
Frequency of observation: Annual,Consumption of non-metallic minerals 1,Percentage of domestic material consumption,2013,24.26
Frequency of observation: Annual,Consumption of non-metallic minerals 1,Percentage of domestic material consumption,2014,23.93
Frequency of observation: Annual,Consumption of non-metallic minerals 1,Percentage of domestic material consumption,2015,24.6
Frequency of observation: Annual,Consumption of non-metallic minerals 1,Percentage of domestic material consumption,2016,23.04
Frequency of observation: Annual,Consumption of non-metallic minerals 1,Percentage of domestic material consumption,2017,23.63
Frequency of observation: Annual,Consumption of non-metallic minerals 1,Percentage of domestic material consumption,2018,22.62
Frequency of observation: Annual,Consumption of non-metallic minerals 1,Percentage of domestic material consumption,2019,23.14
Frequency of observation: Annual,Consumption of non-metallic minerals 1,Percentage of domestic material consumption,2020,22.37
Frequency of observation: Annual,Consumption of non-metallic minerals 1,Percentage of domestic material consumption,2021,23.05
Frequency of observation: Annual,Consumption of non-metallic minerals 1,Percentage of domestic material consumption,2022,22.49
Frequency of observation: Annual,Consumption of non-metallic minerals 1,Percentage of domestic material consumption,2023,21.59
Frequency of observation: Annual,Consumption of non-metallic minerals 1,Percentage of domestic material consumption,2024,22.09
Frequency of observation: Annual,Consumption of metals 1,Percentage of domestic material consumption,2009,54.13
Frequency of observation: Annual,Consumption of metals 1,Percentage of domestic material consumption,2010,59.29
Frequency of observation: Annual,Consumption of metals 1,Percentage of domestic material consumption,2011,52.0
Frequency of observation: Annual,Consumption of metals 1,Percentage of domestic material consumption,2012,57.44
Frequency of observation: Annual,Consumption of metals 1,Percentage of domestic material consumption,2013,55.73
Frequency of observation: Annual,Consumption of metals 1,Percentage of domestic material consumption,2014,56.65
Frequency of observation: Annual,Consumption of metals 1,Percentage of domestic material consumption,2015,55.13
Frequency of observation: Annual,Consumption of metals 1,Percentage of domestic material consumption,2016,55.74
Frequency of observation: Annual,Consumption of metals 1,Percentage of domestic material consumption,2017,55.7
Frequency of observation: Annual,Consumption of metals 1,Percentage of domestic material consumption,2018,57.66
Frequency of observation: Annual,Consumption of metals 1,Percentage of domestic material consumption,2019,58.05
Frequency of observation: Annual,Consumption of metals 1,Percentage of domestic material consumption,2020,56.96
Frequency of observation: Annual,Consumption of metals 1,Percentage of domestic material consumption,2021,57.96
Frequency of observation: Annual,Consumption of metals 1,Percentage of domestic material consumption,2022,58.82
Frequency of observation: Annual,Consumption of metals 1,Percentage of domestic material consumption,2023,60.05
Frequency of observation: Annual,Consumption of metals 1,Percentage of domestic material consumption,2024,59.9
Frequency of observation: Annual,Nitrogen balance 2,Kilogrammes per hectare,2009,-14.97
Frequency of observation: Annual,Nitrogen balance 2,Kilogrammes per hectare,2010,-14.16
Frequency of observation: Annual,Nitrogen balance 2,Kilogrammes per hectare,2011,-15.52
Frequency of observation: Annual,Nitrogen balance 2,Kilogrammes per hectare,2012,-14.21
Frequency of observation: Annual,Nitrogen balance 2,Kilogrammes per hectare,2013,-14.97
Frequency of observation: Annual,Nitrogen balance 2,Kilogrammes per hectare,2014,-14.63
Frequency of observation: Annual,Nitrogen balance 2,Kilogrammes per hectare,2015,-14.54
Frequency of observation: Annual,Nitrogen balance 2,Kilogrammes per hectare,2016,-14.58
Frequency of observation: Annual,Nitrogen balance 2,Kilogrammes per hectare,2017,-14.42
Frequency of observation: Annual,Nitrogen balance 2,Kilogrammes per hectare,2018,-14.21
Frequency of observation: Annual,Nitrogen balance 2,Kilogrammes per hectare,2019,-14.07
Frequency of observation: Annual,Nitrogen balance 2,Kilogrammes per hectare,2020,-13.86
Frequency of observation: Annual,Phosphorus balance 2,Kilogrammes per hectare,2009,-2.61
Frequency of observation: Annual,Phosphorus balance 2,Kilogrammes per hectare,2010,-2.46
Frequency of observation: Annual,Phosphorus balance 2,Kilogrammes per hectare,2011,-2.71
Frequency of observation: Annual,Phosphorus balance 2,Kilogrammes per hectare,2012,-2.48
Frequency of observation: Annual,Phosphorus balance 2,Kilogrammes per hectare,2013,-2.54
Frequency of observation: Annual,Phosphorus balance 2,Kilogrammes per hectare,2014,-2.49
Frequency of observation: Annual,Phosphorus balance 2,Kilogrammes per hectare,2015,-2.45
Frequency of observation: Annual,Phosphorus balance 2,Kilogrammes per hectare,2016,-2.49
Frequency of observation: Annual,Phosphorus balance 2,Kilogrammes per hectare,2017,-2.44
Frequency of observation: Annual,Phosphorus balance 2,Kilogrammes per hectare,2018,-2.39
Frequency of observation: Annual,Phosphorus balance 2,Kilogrammes per hectare,2019,-2.3
Frequency of observation: Annual,Phosphorus balance 2,Kilogrammes per hectare,2020,-2.28
Freshwater resources,Permanent surface water 5,Percentage of area,2015,1.76
Freshwater resources,Seasonal surface water 5,Percentage of area,2015,1.38
Freshwater resources,Conversion of permanent water to not-water surface 5,Percentage of permanent water surface in 1984,2015,23.04
Freshwater resources,Conversion of permanent water to seasonal water surface 5,Percentage of permanent water surface in 1984,2015,6.96
Freshwater resources,Conversion of non-water topermanent water surface 5,Percentage of permanent water surface in 1984,2015,4.86
Freshwater resources,Conversion of seasonal water to permanent water surface 5,Percentage of permanent water surface in 1984,2015,0.37
Freshwater resources,Forest resource stocks 1,Cubic metres,2010,365.7
Freshwater resources,Forest resource stocks 1,Cubic metres,2015,397.4
Freshwater resources,Forest resource stocks 1,Cubic metres,2020,407.0
Freshwater resources,Forest resource stocks 1,Cubic metres,2025,453.91
Freshwater resources,Forests with long-term management plans 1,Percentage of forested area,2010,100.0
Freshwater resources,Forests with long-term management plans 1,Percentage of forested area,2015,100.0
Freshwater resources,Forests with long-term management plans 1,Percentage of forested area,2020,99.96
Freshwater resources,Forests with long-term management plans 1,Percentage of forested area,2025,98.77
Freshwater resources,Naturally regenerating forests 1,Percentage of forested area,2010,85.58
Freshwater resources,Naturally regenerating forests 1,Percentage of forested area,2015,87.28
Freshwater resources,Naturally regenerating forests 1,Percentage of forested area,2020,87.76
Freshwater resources,Naturally regenerating forests 1,Percentage of forested area,2025,87.76
Freshwater resources,Intact forest landscape 1,Square kilometres,2013,4192.23
Freshwater resources,Intact forest landscape 1,Square kilometres,2016,4161.21
Freshwater resources,Intact forest landscape loss 1,Percentage of intact forest landscape in 2000,2013,2.3
Freshwater resources,Intact forest landscape loss 1,Percentage of intact forest landscape in 2000,2016,3.03
Freshwater resources,Sales of pesticides per unit of agricultural land 2,Kilogramme,2009,0.04
Freshwater resources,Sales of pesticides per unit of agricultural land 2,Kilogramme,2010,0.03
Freshwater resources,Sales of pesticides per unit of agricultural land 2,Kilogramme,2011,0.05
Freshwater resources,Sales of pesticides per unit of agricultural land 2,Kilogramme,2012,0.04
Freshwater resources,Sales of pesticides per unit of agricultural land 2,Kilogramme,2013,0.04
Freshwater resources,Sales of pesticides per unit of agricultural land 2,Kilogramme,2014,0.05
Freshwater resources,Sales of pesticides per unit of agricultural land 2,Kilogramme,2015,0.05
Freshwater resources,Sales of pesticides per unit of agricultural land 2,Kilogramme,2016,0.05
Freshwater resources,Sales of pesticides per unit of agricultural land 2,Kilogramme,2017,0.06
Freshwater resources,Sales of pesticides per unit of agricultural land 2,Kilogramme,2018,0.06
Freshwater resources,Sales of pesticides per unit of agricultural land 2,Kilogramme,2019,0.06
Freshwater resources,Sales of pesticides per unit of agricultural land 2,Kilogramme,2020,0.07
Freshwater resources,Population exposure to PM2.5 4,Cubic metres,2009,18.33
Freshwater resources,Population exposure to PM2.5 4,Cubic metres,2010,20.06
Freshwater resources,Population exposure to PM2.5 4,Cubic metres,2011,24.94
Freshwater resources,Population exposure to PM2.5 4,Cubic metres,2012,26.55
Freshwater resources,Population exposure to PM2.5 4,Cubic metres,2013,25.12
Freshwater resources,Population exposure to PM2.5 4,Cubic metres,2014,23.34
Freshwater resources,Population exposure to PM2.5 4,Cubic metres,2015,22.1
Freshwater resources,Population exposure to PM2.5 4,Cubic metres,2016,22.26
Freshwater resources,Population exposure to PM2.5 4,Cubic metres,2017,20.62
Freshwater resources,Population exposure to PM2.5 4,Cubic metres,2018,20.22
Freshwater resources,Population exposure to PM2.5 4,Cubic metres,2019,20.51
Freshwater resources,Population exposure to PM2.5 4,Cubic metres,2020,19.63
Freshwater resources,Population exposed to more than 5 micrograms/m3 4,Percentage of population,2009,99.99
Freshwater resources,Population exposed to more than 5 micrograms/m3 4,Percentage of population,2010,99.99
Freshwater resources,Population exposed to more than 5 micrograms/m3 4,Percentage of population,2011,99.99
Freshwater resources,Population exposed to more than 5 micrograms/m3 4,Percentage of population,2012,99.99
Freshwater resources,Population exposed to more than 5 micrograms/m3 4,Percentage of population,2013,99.99
Freshwater resources,Population exposed to more than 5 micrograms/m3 4,Percentage of population,2014,99.99
Freshwater resources,Population exposed to more than 5 micrograms/m3 4,Percentage of population,2015,99.99
Freshwater resources,Population exposed to more than 5 micrograms/m3 4,Percentage of population,2016,99.99
Freshwater resources,Population exposed to more than 5 micrograms/m3 4,Percentage of population,2017,99.99
Freshwater resources,Population exposed to more than 5 micrograms/m3 4,Percentage of population,2018,99.99
Freshwater resources,Population exposed to more than 5 micrograms/m3 4,Percentage of population,2019,99.99
Freshwater resources,Population exposed to more than 5 micrograms/m3 4,Percentage of population,2020,99.99
Freshwater resources,Population exposed to more than 10 micrograms/m3 4,Percentage of population,2009,97.32
Freshwater resources,Population exposed to more than 10 micrograms/m3 4,Percentage of population,2010,99.14
Freshwater resources,Population exposed to more than 10 micrograms/m3 4,Percentage of population,2011,99.98
Freshwater resources,Population exposed to more than 10 micrograms/m3 4,Percentage of population,2012,99.99
Freshwater resources,Population exposed to more than 10 micrograms/m3 4,Percentage of population,2013,99.96
Freshwater resources,Population exposed to more than 10 micrograms/m3 4,Percentage of population,2014,99.91
Freshwater resources,Population exposed to more than 10 micrograms/m3 4,Percentage of population,2015,99.73
Freshwater resources,Population exposed to more than 10 micrograms/m3 4,Percentage of population,2016,99.59
Freshwater resources,Population exposed to more than 10 micrograms/m3 4,Percentage of population,2017,99.23
Freshwater resources,Population exposed to more than 10 micrograms/m3 4,Percentage of population,2018,99.1
Freshwater resources,Population exposed to more than 10 micrograms/m3 4,Percentage of population,2019,99.22
Freshwater resources,Population exposed to more than 10 micrograms/m3 4,Percentage of population,2020,98.53
Freshwater resources,Population exposed to more than 35 micrograms/m3 4,Percentage of population,2009,0.0
Freshwater resources,Population exposed to more than 35 micrograms/m3 4,Percentage of population,2010,0.88
Freshwater resources,Population exposed to more than 35 micrograms/m3 4,Percentage of population,2011,9.16
Freshwater resources,Population exposed to more than 35 micrograms/m3 4,Percentage of population,2012,13.48
Freshwater resources,Population exposed to more than 35 micrograms/m3 4,Percentage of population,2013,11.69
Freshwater resources,Population exposed to more than 35 micrograms/m3 4,Percentage of population,2014,7.0
Freshwater resources,Population exposed to more than 35 micrograms/m3 4,Percentage of population,2015,4.84
Freshwater resources,Population exposed to more than 35 micrograms/m3 4,Percentage of population,2016,5.57
Freshwater resources,Population exposed to more than 35 micrograms/m3 4,Percentage of population,2017,2.69
Freshwater resources,Population exposed to more than 35 micrograms/m3 4,Percentage of population,2018,2.78
Freshwater resources,Population exposed to more than 35 micrograms/m3 4,Percentage of population,2019,2.88
Freshwater resources,Population exposed to more than 35 micrograms/m3 4,Percentage of population,2020,0.0
Freshwater resources,Mortality from exposure to ambient PM2.5 3,Deaths per 1 000 000 inhabitants,2009,614.77
Freshwater resources,Mortality from exposure to ambient PM2.5 3,Deaths per 1 000 000 inhabitants,2010,619.41
Freshwater resources,Mortality from exposure to ambient PM2.5 3,Deaths per 1 000 000 inhabitants,2011,616.34
Freshwater resources,Mortality from exposure to ambient PM2.5 3,Deaths per 1 000 000 inhabitants,2012,613.68
Freshwater resources,Mortality from exposure to ambient PM2.5 3,Deaths per 1 000 000 inhabitants,2013,602.09
Freshwater resources,Mortality from exposure to ambient PM2.5 3,Deaths per 1 000 000 inhabitants,2014,588.85
Freshwater resources,Mortality from exposure to ambient PM2.5 3,Deaths per 1 000 000 inhabitants,2015,578.58
Freshwater resources,Mortality from exposure to ambient PM2.5 3,Deaths per 1 000 000 inhabitants,2016,565.81
Freshwater resources,Mortality from exposure to ambient PM2.5 3,Deaths per 1 000 000 inhabitants,2017,550.82
Freshwater resources,Mortality from exposure to ambient PM2.5 3,Deaths per 1 000 000 inhabitants,2018,550.76
Freshwater resources,Mortality from exposure to ambient PM2.5 3,Deaths per 1 000 000 inhabitants,2019,546.67
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient PM2.5 3,Percentage of GDP,2009,6.57
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient PM2.5 3,Percentage of GDP,2010,6.57
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient PM2.5 3,Percentage of GDP,2011,6.51
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient PM2.5 3,Percentage of GDP,2012,6.46
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient PM2.5 3,Percentage of GDP,2013,6.31
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient PM2.5 3,Percentage of GDP,2014,6.15
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient PM2.5 3,Percentage of GDP,2015,6.04
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient PM2.5 3,Percentage of GDP,2016,5.9
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient PM2.5 3,Percentage of GDP,2017,5.73
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient PM2.5 3,Percentage of GDP,2018,5.71
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient PM2.5 3,Percentage of GDP,2019,5.66
Freshwater resources,Mortality from exposure to ambient ozone 3,Deaths per 1 000 000 inhabitants,2009,23.46
Freshwater resources,Mortality from exposure to ambient ozone 3,Deaths per 1 000 000 inhabitants,2010,22.21
Freshwater resources,Mortality from exposure to ambient ozone 3,Deaths per 1 000 000 inhabitants,2011,25.58
Freshwater resources,Mortality from exposure to ambient ozone 3,Deaths per 1 000 000 inhabitants,2012,26.74
Freshwater resources,Mortality from exposure to ambient ozone 3,Deaths per 1 000 000 inhabitants,2013,26.15
Freshwater resources,Mortality from exposure to ambient ozone 3,Deaths per 1 000 000 inhabitants,2014,23.36
Freshwater resources,Mortality from exposure to ambient ozone 3,Deaths per 1 000 000 inhabitants,2015,27.22
Freshwater resources,Mortality from exposure to ambient ozone 3,Deaths per 1 000 000 inhabitants,2016,33.23
Freshwater resources,Mortality from exposure to ambient ozone 3,Deaths per 1 000 000 inhabitants,2017,41.99
Freshwater resources,Mortality from exposure to ambient ozone 3,Deaths per 1 000 000 inhabitants,2018,32.77
Freshwater resources,Mortality from exposure to ambient ozone 3,Deaths per 1 000 000 inhabitants,2019,30.82
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient ozone 3,Percentage of GDP,2009,0.25
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient ozone 3,Percentage of GDP,2010,0.24
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient ozone 3,Percentage of GDP,2011,0.27
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient ozone 3,Percentage of GDP,2012,0.28
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient ozone 3,Percentage of GDP,2013,0.27
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient ozone 3,Percentage of GDP,2014,0.24
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient ozone 3,Percentage of GDP,2015,0.28
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient ozone 3,Percentage of GDP,2016,0.35
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient ozone 3,Percentage of GDP,2017,0.44
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient ozone 3,Percentage of GDP,2018,0.34
Freshwater resources,Welfare costs of premature mortalities from exposure to ambient ozone 3,Percentage of GDP,2019,0.32
Freshwater resources,Mortality from exposure to lead 3,Deaths per 1 000 000 inhabitants,2009,96.95
Freshwater resources,Mortality from exposure to lead 3,Deaths per 1 000 000 inhabitants,2010,94.36
Freshwater resources,Mortality from exposure to lead 3,Deaths per 1 000 000 inhabitants,2011,90.45
Freshwater resources,Mortality from exposure to lead 3,Deaths per 1 000 000 inhabitants,2012,86.41
Freshwater resources,Mortality from exposure to lead 3,Deaths per 1 000 000 inhabitants,2013,81.91
Freshwater resources,Mortality from exposure to lead 3,Deaths per 1 000 000 inhabitants,2014,77.6
Freshwater resources,Mortality from exposure to lead 3,Deaths per 1 000 000 inhabitants,2015,74.3
Freshwater resources,Mortality from exposure to lead 3,Deaths per 1 000 000 inhabitants,2016,71.59
Freshwater resources,Mortality from exposure to lead 3,Deaths per 1 000 000 inhabitants,2017,66.75
Freshwater resources,Mortality from exposure to lead 3,Deaths per 1 000 000 inhabitants,2018,67.34
Freshwater resources,Mortality from exposure to lead 3,Deaths per 1 000 000 inhabitants,2019,65.43
Freshwater resources,Welfare costs of premature mortalities from exposure to lead 3,Percentage of GDP,2009,1.04
Freshwater resources,Welfare costs of premature mortalities from exposure to lead 3,Percentage of GDP,2010,1.0
Freshwater resources,Welfare costs of premature mortalities from exposure to lead 3,Percentage of GDP,2011,0.95
Freshwater resources,Welfare costs of premature mortalities from exposure to lead 3,Percentage of GDP,2012,0.91
Freshwater resources,Welfare costs of premature mortalities from exposure to lead 3,Percentage of GDP,2013,0.86
Freshwater resources,Welfare costs of premature mortalities from exposure to lead 3,Percentage of GDP,2014,0.81
Freshwater resources,Welfare costs of premature mortalities from exposure to lead 3,Percentage of GDP,2015,0.78
Freshwater resources,Welfare costs of premature mortalities from exposure to lead 3,Percentage of GDP,2016,0.75
Freshwater resources,Welfare costs of premature mortalities from exposure to lead 3,Percentage of GDP,2017,0.69
Freshwater resources,Welfare costs of premature mortalities from exposure to lead 3,Percentage of GDP,2018,0.7
Freshwater resources,Welfare costs of premature mortalities from exposure to lead 3,Percentage of GDP,2019,0.68
Freshwater resources,Mortality from exposure to residential radon 3,Deaths per 1 000 000 inhabitants,2009,18.86
Freshwater resources,Mortality from exposure to residential radon 3,Deaths per 1 000 000 inhabitants,2010,18.78
Freshwater resources,Mortality from exposure to residential radon 3,Deaths per 1 000 000 inhabitants,2011,18.5
Freshwater resources,Mortality from exposure to residential radon 3,Deaths per 1 000 000 inhabitants,2012,18.14
Freshwater resources,Mortality from exposure to residential radon 3,Deaths per 1 000 000 inhabitants,2013,17.45
Freshwater resources,Mortality from exposure to residential radon 3,Deaths per 1 000 000 inhabitants,2014,16.87
Freshwater resources,Mortality from exposure to residential radon 3,Deaths per 1 000 000 inhabitants,2015,16.51
Freshwater resources,Mortality from exposure to residential radon 3,Deaths per 1 000 000 inhabitants,2016,16.55
Freshwater resources,Mortality from exposure to residential radon 3,Deaths per 1 000 000 inhabitants,2017,16.27
Freshwater resources,Mortality from exposure to residential radon 3,Deaths per 1 000 000 inhabitants,2018,16.67
Freshwater resources,Mortality from exposure to residential radon 3,Deaths per 1 000 000 inhabitants,2019,16.52
Freshwater resources,Welfare costs of premature mortalities from exposure to residential radon 3,Percentage of GDP,2009,0.2
Freshwater resources,Welfare costs of premature mortalities from exposure to residential radon 3,Percentage of GDP,2010,0.2
Freshwater resources,Welfare costs of premature mortalities from exposure to residential radon 3,Percentage of GDP,2011,0.2
Freshwater resources,Welfare costs of premature mortalities from exposure to residential radon 3,Percentage of GDP,2012,0.19
Freshwater resources,Welfare costs of premature mortalities from exposure to residential radon 3,Percentage of GDP,2013,0.18
Freshwater resources,Welfare costs of premature mortalities from exposure to residential radon 3,Percentage of GDP,2014,0.18
Freshwater resources,Welfare costs of premature mortalities from exposure to residential radon 3,Percentage of GDP,2015,0.17
Freshwater resources,Welfare costs of premature mortalities from exposure to residential radon 3,Percentage of GDP,2016,0.17
Freshwater resources,Welfare costs of premature mortalities from exposure to residential radon 3,Percentage of GDP,2017,0.17
Freshwater resources,Welfare costs of premature mortalities from exposure to residential radon 3,Percentage of GDP,2018,0.17
